id,screen_name,subset,category,label,n_tweets,verified,friends_count,followers_count,listed_count,favorites_count,hashtag_count,mentions_count,retweet_count,reply_count,url_count,statuses_count,ffratio,avg_hashtag,avg_retweets,avg_replies,avg_mentions,avg_url,avg_user_engagement,unique_word_count,unique_word_use,punctuation_count,avg_sentence_length,punctuation_density,profile_completeness,description_binary,default_profile,default_profile_image,geo_enabled,profile_background_tile,avg_polarity,avg_subjectivity,source_dataset
3610511,braddd,E13,Humans (E13 — elections 2013),0,0,0.0,2385.0,5470.0,52.0,145.0,0.0,0.0,0.0,0.0,0.0,20370.0,2.2925398155909478,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,19.0,1.2857142857142858,0.1258278145695364,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,cresci-15
5656162,eKoeS,E13,Humans (E13 — elections 2013),0,0,0.0,381.0,506.0,40.0,9.0,0.0,0.0,0.0,0.0,0.0,3131.0,1.324607329842932,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,8.0,4.666666666666667,0.0769230769230769,0.8333333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,cresci-15
5682702,tacone_,E13,Humans (E13 — elections 2013),0,0,0.0,87.0,264.0,16.0,323.0,0.0,0.0,0.0,0.0,0.0,4024.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,0.0454545454545454,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,cresci-15
6067292,alesstar,E13,Humans (E13 — elections 2013),0,0,0.0,622.0,640.0,32.0,1118.0,0.0,0.0,0.0,0.0,0.0,40586.0,1.0272873194221508,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,7.0,0.0555555555555555,0.8333333333333334,1.0,0.0,0.0,1.0,0.0,0.0,0.0,cresci-15
6015122,PerDiletto,E13,Humans (E13 — elections 2013),0,0,0.0,64.0,62.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.953846153846154,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.8333333333333334,1.0,0.0,0.0,1.0,0.0,0.0,0.0,cresci-15
6140012,crispaol,E13,Humans (E13 — elections 2013),0,0,0.0,179.0,138.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,3603.0,0.7666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,2.0,6.0,0.054054054054054,0.6666666666666666,1.0,0.0,0.0,1.0,1.0,0.0,0.0,cresci-15
6134312,tmpx,E13,Humans (E13 — elections 2013),0,0,0.0,168.0,128.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1183.0,0.757396449704142,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.8214285714285714,6.0,5.6,0.0408163265306122,0.6666666666666666,1.0,0.0,0.0,1.0,1.0,-0.27,0.6399999999999999,cresci-15
6684602,Igor99,E13,Humans (E13 — elections 2013),0,0,0.0,1770.0,1062.0,5.0,597.0,0.0,0.0,0.0,0.0,0.0,6194.0,0.5996612083568605,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,11.0,0.0161290322580645,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,cresci-15
7046912,marcomassarotto,E13,Humans (E13 — elections 2013),0,0,0.0,958.0,23368.0,715.0,590.0,0.0,0.0,0.0,0.0,0.0,10962.0,24.367049009384772,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.7142857142857143,8.0,2.333333333333333,0.1176470588235294,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,cresci-15
7470952,personanormale,E13,Humans (E13 — elections 2013),0,0,0.0,712.0,760.0,27.0,693.0,0.0,0.0,0.0,0.0,0.0,10947.0,1.0659186535764376,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.9130434782608696,4.0,7.666666666666667,0.0327868852459016,0.8333333333333334,1.0,0.0,0.0,1.0,1.0,0.0,0.0,cresci-15
8072492,alessandraelle,E13,Humans (E13 — elections 2013),0,0,0.0,218.0,477.0,13.0,224.0,0.0,0.0,0.0,0.0,0.0,2754.0,2.1780821917808217,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.9655172413793104,10.0,9.666666666666666,0.0628930817610062,1.0,1.0,0.0,0.0,1.0,0.0,0.35,0.3,cresci-15
8291932,mackley,E13,Humans (E13 — elections 2013),0,0,0.0,1177.0,1390.0,68.0,914.0,0.0,0.0,0.0,0.0,0.0,26713.0,1.1799660441426143,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,0.0625,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,cresci-15
8858022,pvalente,E13,Humans (E13 — elections 2013),0,0,0.0,338.0,314.0,8.0,47.0,0.0,0.0,0.0,0.0,0.0,4111.0,0.9262536873156342,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.9166666666666666,5.0,6.0,0.0568181818181818,0.8333333333333334,1.0,0.0,0.0,1.0,1.0,0.0,0.0,cresci-15
8927532,giacomo_beretta,E13,Humans (E13 — elections 2013),0,0,0.0,203.0,97.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,1441.0,0.4754901960784313,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,4.0,13.0,0.0481927710843373,0.8333333333333334,1.0,0.0,0.0,1.0,1.0,0.0,0.0,cresci-15
8933252,decumano,E13,Humans (E13 — elections 2013),0,0,0.0,1930.0,289.0,3.0,45.0,0.0,0.0,0.0,0.0,0.0,1698.0,0.1496633868461936,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,cresci-15
9351052,bene83,E13,Humans (E13 — elections 2013),0,0,0.0,78.0,93.0,4.0,36.0,0.0,0.0,0.0,0.0,0.0,402.0,1.1772151898734178,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,5.0,0.0,0.8333333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,cresci-15
9564632,Moscerina,E13,Humans (E13 — elections 2013),0,0,0.0,918.0,2242.0,124.0,44.0,0.0,0.0,0.0,0.0,0.0,16935.0,2.439608269858542,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,6.0,0.0975609756097561,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,cresci-15
9939012,Lonerunner,E13,Humans (E13 — elections 2013),0,0,0.0,891.0,689.0,37.0,199.0,0.0,0.0,0.0,0.0,0.0,9437.0,0.7724215246636771,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.9583333333333334,20.0,4.0,0.1298701298701298,1.0,1.0,0.0,0.0,1.0,0.0,0.1111111111111111,0.2888888888888889,cresci-15
9993142,_Annalisa_,E13,Humans (E13 — elections 2013),0,0,0.0,571.0,505.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,3742.0,0.8828671328671329,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.7,5.0,10.0,0.0467289719626168,0.8333333333333334,1.0,0.0,0.0,0.0,1.0,0.0,0.0,cresci-15
